covered_entity_name,state,covered_entity_type,breach_type,location_of_breached_info,individuals_affected,breach_submission_date,business_associate_present,outreach_priority
New York City Health and Hospitals Corporation,NY,Healthcare Provider,Hacking/IT Incident,Network Server,1800000,03/24/2026,No,HIGH
Kettering Adventist Healthcare,OH,Healthcare Provider,Hacking/IT Incident,Network Server,1695382,07/21/2025,No,HIGH
Lubbock County Hospital District,TX,Healthcare Provider,Hacking/IT Incident,Network Server,1461776,11/22/2024,No,HIGH
"Radiology Associates of Richmond, Inc.",VA,Healthcare Provider,Hacking/IT Incident,Network Server,1419091,07/01/2025,No,HIGH
DermCare Management,FL,Business Associate,Hacking/IT Incident,Network Server,1361735,05/02/2025,Yes,HIGH
SimonMed Imaging,AZ,Healthcare Provider,Hacking/IT Incident,Network Server,1275669,03/27/2025,No,HIGH
"Absolute Dental Group, LLC",NV,Business Associate,Hacking/IT Incident,Network Server,1223635,05/02/2025,Yes,HIGH
Palomar Health Medical Group,CA,Healthcare Provider,Hacking/IT Incident,Network Server,1140221,07/03/2024,No,HIGH
"Southeast Series of Lockton Companies, LLC (Lockton)",GA,Business Associate,Hacking/IT Incident,Network Server,1124727,02/28/2025,Yes,HIGH
"Community Health Center, Inc.",CT,Healthcare Provider,Hacking/IT Incident,"Electronic Medical Record, Network Server",1060936,01/30/2025,No,HIGH
Frederick Health,MD,Healthcare Provider,Hacking/IT Incident,Network Server,934326,03/28/2025,No,HIGH
"ATSG, Inc",NY,Business Associate,Hacking/IT Incident,Network Server,909469,10/04/2024,Yes,HIGH
Texas Tech University Health Sciences Center El Paso,TX,Healthcare Provider,Hacking/IT Incident,Network Server,815000,11/25/2024,No,HIGH
McLaren Health Care,MI,Healthcare Provider,Hacking/IT Incident,Network Server,743131,06/24/2025,No,HIGH
"OpenLoop Health, Inc.",IA,Business Associate,Hacking/IT Incident,Network Server,716000,03/17/2026,Yes,HIGH
Medusind Inc.,FL,Business Associate,Hacking/IT Incident,Network Server,701475,01/07/2025,Yes,HIGH
Texas Tech University Health Sciences Center,TX,Healthcare Provider,Hacking/IT Incident,Network Server,650000,11/25/2024,No,HIGH
"ApolloMD Business Services, LLC",GA,Business Associate,Hacking/IT Incident,Network Server,626540,02/10/2026,Yes,HIGH
Erie Family Health Centers,IL,Healthcare Provider,Hacking/IT Incident,Network Server,570000,03/27/2026,No,HIGH
NorthBay Healthcare Corporation,CA,Healthcare Provider,Hacking/IT Incident,Network Server,569012,04/23/2024,No,HIGH
"Kelly & Associates Insurance Group, Inc.",MD,Business Associate,Hacking/IT Incident,Network Server,553332,04/09/2025,Yes,HIGH
"Decisely Insurance Services, LLC",GA,Business Associate,Hacking/IT Incident,"Network Server, Other",537603,06/13/2025,Yes,HIGH
Kootenai Health,ID,Healthcare Provider,Hacking/IT Incident,Network Server,464088,04/24/2024,No,HIGH
Ascension Health,MO,Healthcare Provider,Hacking/IT Incident,Network Server,437329,04/28/2025,No,HIGH
"Specialty Networks, Inc.",TN,Business Associate,Hacking/IT Incident,Network Server,411037,08/15/2024,Yes,HIGH
"American Addiction Centers, Inc.",TN,Business Associate,Hacking/IT Incident,Network Server,410747,11/25/2024,Yes,HIGH
Philadelphia Corporation for Aging (PCA),PA,Business Associate,Hacking/IT Incident,Network Server,410491,09/23/2025,Yes,HIGH
Rocky Mountain Gastroenterology Associates PLLC,CO,Healthcare Provider,Hacking/IT Incident,Network Server,366491,11/13/2024,No,HIGH
"Northwest Radiologists, Inc./Mount Baker Imaging",WA,Healthcare Provider,Hacking/IT Incident,Network Server,362713,10/28/2025,No,HIGH
Onsite Mammography,MA,Business Associate,Hacking/IT Incident,Email,357265,04/21/2025,Yes,HIGH
"Ciox Health LLC, d/b/a Datavant Group",AZ,Business Associate,Hacking/IT Incident,Email,320702,10/07/2024,Yes,HIGH
"VITAS Hospice Services, LLC",FL,Healthcare Provider,Hacking/IT Incident,Network Server,319177,11/24/2025,No,HIGH
Minnesota Department of Human Services,MN,Health Plan,Unauthorized Access/Disclosure,Network Server,303965,01/16/2026,Yes,HIGH
"Excelsior Orthopaedics, LLC",NY,Healthcare Provider,Hacking/IT Incident,Network Server,292913,08/21/2024,No,HIGH
Allegheny Health Network Home Medical Equipment LLC and Allegheny Health Network Home Infusion LLC,PA,Healthcare Provider,Hacking/IT Incident,Network Server,292773,01/17/2025,Yes,HIGH
North Texas Behavioral Health Authority,TX,Healthcare Provider,Hacking/IT Incident,Network Server,285086,03/06/2026,No,HIGH
Alabama Cardiovascular Group,AL,Healthcare Provider,Hacking/IT Incident,Network Server,280534,08/02/2024,No,HIGH
"Zumpano Patricios, P.A.",FL,Business Associate,Hacking/IT Incident,Network Server,279275,07/03/2025,Yes,HIGH
Florida Physician Specialists,FL,Healthcare Provider,Hacking/IT Incident,Network Server,276498,04/24/2026,No,HIGH
Radiology Associates of Richmond,VA,Healthcare Provider,Hacking/IT Incident,Network Server,266183,05/21/2026,No,HIGH
"The City of Long Beach, CA",CA,Healthcare Provider,Hacking/IT Incident,Network Server,258191,04/14/2025,No,HIGH
"EngageMED, Inc",AR,Business Associate,Hacking/IT Incident,Network Server,249297,08/30/2024,Yes,HIGH
"Medical Associates of Brevard, LLC",FL,Healthcare Provider,Hacking/IT Incident,Network Server,246711,09/05/2025,No,HIGH
"Fieldtex Products, Inc.",NY,Business Associate,Hacking/IT Incident,Network Server,238615,11/20/2025,Yes,HIGH
"Bell Ambulance, Inc.",WI,Healthcare Provider,Hacking/IT Incident,Network Server,237830,04/14/2025,No,HIGH
Cierant Corporation,CT,Business Associate,Hacking/IT Incident,Network Server,232506,07/03/2025,Yes,HIGH
Delta Health System,MS,Healthcare Provider,Hacking/IT Incident,Network Server,216532,03/29/2024,No,HIGH
Harbor,OH,Healthcare Provider,Hacking/IT Incident,Network Server,216000,09/30/2025,No,HIGH
Horizon Healthcare RCM,IN,Healthcare Clearing House,Hacking/IT Incident,Network Server,210901,06/27/2025,No,HIGH
Dameron Hospital,CA,Healthcare Provider,Hacking/IT Incident,Network Server,210706,04/02/2025,No,HIGH
Expert MRI,CA,Healthcare Provider,Hacking/IT Incident,Network Server,209560,10/31/2025,No,HIGH
"Asheville Eye Associates, PLLC",NC,Healthcare Provider,Hacking/IT Incident,Network Server,204984,01/17/2025,No,HIGH
Tri Century Eye Care PC,PA,Healthcare Provider,Hacking/IT Incident,Network Server,200000,10/31/2025,No,HIGH
"Modernizing Medicine, Inc.",FL,Business Associate,Hacking/IT Incident,Network Server,198795,10/17/2025,Yes,HIGH
Muskogee City County Enhanced 911 Trust Authority,OK,Business Associate,Hacking/IT Incident,Network Server,180000,09/20/2024,Yes,HIGH
"Harbin Clinic, LLC",GA,Healthcare Provider,Hacking/IT Incident,Network Server,176149,05/16/2025,Yes,HIGH
"CDHA Management, LLC and Spark DSO, LLC dba Chord Specialty Dental Partners",TN,Healthcare Provider,Hacking/IT Incident,Email,173430,03/14/2025,No,HIGH
Deer Oaks Behavioral Health,TX,Healthcare Provider,Hacking/IT Incident,Network Server,171871,07/31/2024,No,HIGH
Doctors Imaging Group,FL,Healthcare Provider,Hacking/IT Incident,Network Server,171862,09/24/2025,No,HIGH
Sandhills Medical Foundation,SC,Healthcare Provider,Hacking/IT Incident,Network Server,169017,09/14/2025,No,HIGH
Central Kentucky Radiology,KY,Healthcare Provider,Hacking/IT Incident,Network Server,166953,06/13/2025,No,HIGH
Southern Illinois Dermatology,IL,Healthcare Provider,Hacking/IT Incident,Network Server,160312,04/02/2026,No,HIGH
"Alera Group, Inc.",IL,Business Associate,Hacking/IT Incident,Network Server,155567,07/29/2025,Yes,HIGH
Retina Group of Florida,FL,Healthcare Provider,Hacking/IT Incident,Network Server,152691,09/03/2025,No,HIGH
Delta County Memorial Hospital District (Delta Health),CO,Healthcare Provider,Hacking/IT Incident,Network Server,148363,07/29/2024,No,HIGH
Saint Anthony Hospital,IL,Healthcare Provider,Hacking/IT Incident,Email,146108,03/06/2026,No,HIGH
Laurel Eye Clinic,PA,Healthcare Provider,Hacking/IT Incident,Network Server,145221,04/22/2026,No,HIGH
"Escambia Community Clinics, Inc. dba Community Health Northwest Florida",FL,Healthcare Provider,Hacking/IT Incident,Network Server,143969,02/03/2025,No,HIGH
"Innovative Scientific Solutions, LLC",SC,Healthcare Provider,Hacking/IT Incident,Network Server,143842,04/17/2026,No,HIGH
"Wound Technology Network, Inc.",FL,Healthcare Provider,Hacking/IT Incident,Network Server,139830,01/28/2026,No,HIGH
"University Diagnostic Medical Imaging, PC",NY,Healthcare Provider,Hacking/IT Incident,Network Server,138080,01/21/2025,No,HIGH
"Kerber, Eck & Braeckel LLP",IL,Business Associate,Hacking/IT Incident,Network Server,134918,08/16/2024,Yes,HIGH
"Community Dental Care, Inc.",MN,Healthcare Provider,Hacking/IT Incident,Network Server,134903,03/28/2025,No,HIGH
"IPPC Inc., IPPC of New York LLC, and Innovative Pharmacy LLC (collectively “IPPC”)",NJ,Healthcare Provider,Hacking/IT Incident,Network Server,133862,02/27/2026,No,HIGH
Great Plains Regional Medical Center,OK,Healthcare Provider,Hacking/IT Incident,Network Server,133149,11/07/2024,No,HIGH
Alabama Ophthalmology Associates,AL,Healthcare Provider,Hacking/IT Incident,"Desktop Computer, Network Server",131576,04/08/2025,No,HIGH
Delta Dental of Virginia,VA,Health Plan,Hacking/IT Incident,Email,126953,11/21/2025,No,HIGH
Medical Express Ambulance Inc.  D/B/A Medex Ambulance,IL,Healthcare Provider,Hacking/IT Incident,Network Server,121190,05/02/2024,No,HIGH
"Newport Harbor Pathology Medical Group, Inc.",CA,Healthcare Provider,Hacking/IT Incident,Network Server,119341,01/10/2025,No,HIGH
Endue Software,ME,Business Associate,Hacking/IT Incident,Network Server,118028,04/11/2025,Yes,HIGH
RRCA Accounts Management Inc.,IL,Business Associate,Hacking/IT Incident,"Desktop Computer, Network Server",115837,10/18/2024,Yes,HIGH
Community Care Alliance,RI,Healthcare Provider,Hacking/IT Incident,Network Server,114975,03/01/2025,No,HIGH
"Western Orthopaedics, P.C.",CO,Healthcare Provider,Hacking/IT Incident,Network Server,113330,05/01/2026,No,HIGH
Richmond Behavioral Health Authority,VA,Healthcare Provider,Hacking/IT Incident,Network Server,113232,11/28/2025,No,HIGH
"Tycon Medical Systems, Inc.",VA,Healthcare Provider,Hacking/IT Incident,Network Server,112847,12/30/2024,No,HIGH
"VeriSource Services, Inc.",TX,Business Associate,Hacking/IT Incident,Network Server,112726,08/20/2024,Yes,HIGH
Persante Health Care,NJ,Business Associate,Hacking/IT Incident,Network Server,111815,11/26/2025,Yes,HIGH
Highlands Oncology Group PA,AR,Healthcare Provider,Hacking/IT Incident,Network Server,111766,08/01/2025,No,HIGH
"Vital Imaging Medical Diagnostic Centers, LLC",FL,Healthcare Provider,Hacking/IT Incident,Network Server,111509,08/21/2025,No,HIGH
"Coastal Carolina Health Care, PA",NC,Healthcare Provider,Hacking/IT Incident,Network Server,110304,03/24/2026,No,HIGH
"VectraRx Mail Pharmacy Services, LLC",AZ,Healthcare Provider,Hacking/IT Incident,Network Server,109383,02/06/2025,No,HIGH
University of Iowa Community Home Care,IA,Healthcare Provider,Hacking/IT Incident,Network Server,109029,08/29/2025,No,HIGH
Denton MHMR Center,TX,Healthcare Provider,Hacking/IT Incident,Network Server,108967,11/05/2025,No,HIGH
United of Omaha Life Insurance Company,NE,Health Plan,Hacking/IT Incident,Email,107894,07/26/2024,No,HIGH
Centers for Medicare & Medicaid Services,MD,Health Plan,Hacking/IT Incident,Network Server,107154,06/30/2025,No,HIGH
"Hillcrest Convalescent Center, Inc.",NC,Healthcare Provider,Hacking/IT Incident,Network Server,106194,03/04/2025,No,HIGH
Renkim Corporation,MI,Business Associate,Hacking/IT Incident,Network Server,105518,06/02/2025,Yes,HIGH
Mid America Physician Services,KS,Healthcare Provider,Hacking/IT Incident,Network Server,104513,01/13/2025,No,HIGH
"Fieldtex Products, Inc.",NY,Business Associate,Hacking/IT Incident,Network Server,104071,12/12/2025,Yes,HIGH
Brightstar Global Solutions Corporation,RI,Health Plan,Hacking/IT Incident,Network Server,103879,10/03/2025,No,HIGH
"Liberty Resources, Inc.",NY,Healthcare Provider,Hacking/IT Incident,Network Server,103711,03/04/2025,No,HIGH
University of Iowa Health Care,IA,Healthcare Provider,Hacking/IT Incident,Network Server,101875,08/29/2025,No,HIGH
Mainline Health Systems Inc,AR,Healthcare Provider,Hacking/IT Incident,Network Server,101104,06/23/2025,No,HIGH
"Survival Flight, Inc.",AZ,Healthcare Provider,Hacking/IT Incident,Network Server,97217,09/15/2025,No,HIGH
Columbia Medical Practice,MD,Healthcare Provider,Hacking/IT Incident,Network Server,94131,12/05/2025,No,HIGH
"NS Support, LLC",ID,Healthcare Provider,Hacking/IT Incident,Network Server,92845,11/21/2025,No,HIGH
"Oglethorpe, Inc.",FL,Healthcare Provider,Hacking/IT Incident,Network Server,92332,08/05/2025,No,HIGH
Hospital Caribbean Medical Center,,Healthcare Provider,Hacking/IT Incident,Network Server,92000,04/06/2026,No,HIGH
North East Medical Services,CA,Healthcare Provider,Hacking/IT Incident,Network Server,91513,12/18/2025,No,HIGH
CPAP Medical Supplies and Services Inc.,FL,Healthcare Provider,Hacking/IT Incident,Network Server,90133,08/15/2025,No,HIGH
National Association on Drug Abuse Problems,NY,Healthcare Provider,Hacking/IT Incident,Network Server,90000,02/13/2026,No,HIGH
Stockton Cardiology Medical Group,CA,Healthcare Provider,Hacking/IT Incident,Network Server,90000,03/18/2026,No,HIGH
Spindletop Center,TX,Healthcare Provider,Hacking/IT Incident,Network Server,88863,11/28/2025,No,HIGH
"Covenant Surgical Partners, Inc.",TX,Business Associate,Hacking/IT Incident,Network Server,88609,05/28/2025,Yes,HIGH
Counseling Center of Wayne & Holmes Counties,OH,Healthcare Provider,Hacking/IT Incident,Network Server,83354,02/09/2026,No,HIGH
Clinic Service Corporation,CO,Business Associate,Hacking/IT Incident,Network Server,82331,01/28/2026,Yes,HIGH
AllerVie Health,TX,Healthcare Provider,Hacking/IT Incident,Network Server,80521,12/23/2025,No,HIGH
Conceptions Reproductive Associates of Colorado,CO,Healthcare Provider,Hacking/IT Incident,Network Server,80000,11/25/2024,No,HIGH
"ESHA, Inc.",TX,Business Associate,Hacking/IT Incident,Network Server,76922,11/15/2024,Yes,HIGH
Health Services LLC,OH,Healthcare Provider,Hacking/IT Incident,Network Server,75906,04/01/2025,No,HIGH
Sierra Vista Hospital & Clinics,NM,Healthcare Provider,Hacking/IT Incident,Network Server,75054,10/06/2025,No,HIGH
"West Texas Health, PLLC",TX,Business Associate,Hacking/IT Incident,Network Server,73720,12/02/2025,Yes,HIGH
Academic Urology & Urogynecology of Arizona,AZ,Healthcare Provider,Hacking/IT Incident,Network Server,73281,02/13/2026,No,HIGH
Concord Orthopaedics,NH,Healthcare Provider,Hacking/IT Incident,Network Server,72815,03/25/2025,No,HIGH
Anchorage Neighborhood Health Center,AK,Healthcare Provider,Hacking/IT Incident,Network Server,70555,11/19/2025,No,HIGH
Rockhill Women’s Care,MO,Healthcare Provider,Hacking/IT Incident,Network Server,70129,09/25/2025,No,HIGH
Texas Health and Human Services Commission,TX,Health Plan,Hacking/IT Incident,Network Server,68066,01/05/2026,Yes,HIGH
"Primary Health-SMMPP, L.C.",AZ,Business Associate,Hacking/IT Incident,Network Server,67567,02/06/2025,Yes,HIGH
Tri-Cities Gastroenterology,TN,Healthcare Provider,Hacking/IT Incident,Network Server,67115,04/29/2026,No,HIGH
"Alpine Ears, Nose & Throat, P.L.L.C.",CO,Healthcare Provider,Unauthorized Access/Disclosure,Network Server,65648,01/17/2025,No,HIGH
"City Health, a medical corporation",CA,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,65000,04/14/2026,No,HIGH
The Plastic Surgery Center,NJ,Healthcare Provider,Hacking/IT Incident,Network Server,64813,01/03/2025,No,HIGH
"MedStar Health, Inc.",MD,Healthcare Provider,Hacking/IT Incident,Network Server,64332,12/03/2025,No,HIGH
Buffalo Surgery Center,NY,Healthcare Provider,Hacking/IT Incident,Network Server,64000,01/04/2025,No,HIGH
Hematology Oncology Consultants,MI,Healthcare Provider,Hacking/IT Incident,Network Server,62972,04/24/2026,No,HIGH
"OB-GYN Associates, Ltd. dba OBGYN Associates",NV,Healthcare Provider,Hacking/IT Incident,Network Server,62238,10/06/2025,No,HIGH
"Gaylord Hospital, Inc",CT,Healthcare Provider,Hacking/IT Incident,Network Server,62232,02/28/2025,No,HIGH
Western Wayne Family Physicians,MI,Healthcare Provider,Hacking/IT Incident,Network Server,62000,03/26/2025,No,HIGH
Weiser Valley Hospital District dba Weiser Memorial Hospital,ID,Healthcare Provider,Hacking/IT Incident,Network Server,59990,05/15/2025,No,HIGH
McKenzie Memorial Hospital,MI,Healthcare Provider,Hacking/IT Incident,Network Server,58839,07/24/2025,No,HIGH
Central District Health Department of Nebraska,NE,Healthcare Provider,Hacking/IT Incident,Network Server,58519,04/01/2025,No,HIGH
Exclusive Physicians PLLC,MI,Healthcare Provider,Hacking/IT Incident,Network Server,58000,03/06/2026,No,HIGH
Beverly Hills Oncology Medical Group,CA,Healthcare Provider,Hacking/IT Incident,Network Server,57655,10/31/2025,No,HIGH
The Cooper Health System,NJ,Healthcare Provider,Hacking/IT Incident,Network Server,57412,05/23/2025,No,HIGH
"Radiologic Medical Services, P.C.",IA,Healthcare Provider,Hacking/IT Incident,Email,56902,11/12/2024,No,HIGH
Amalgamated Meat Cutters and Retail Food Store Employees Union Local 342 Health Care Fund,NY,Health Plan,Hacking/IT Incident,Network Server,56615,06/26/2025,No,HIGH
"Advanced Recovery Equipment & Supplies, LLC",NY,Healthcare Provider,Hacking/IT Incident,Network Server,56000,10/18/2024,No,HIGH
"Davies, McFarland & Carroll LLC",PA,Business Associate,Hacking/IT Incident,Network Server,54712,11/24/2025,Yes,HIGH
Brevard Skin and Cancer Center,FL,Healthcare Provider,Hacking/IT Incident,Network Server,54570,12/12/2025,No,HIGH
"GrayRobinson, P.A.",FL,Business Associate,Hacking/IT Incident,Network Server,54131,04/24/2026,Yes,HIGH
Clay Platte Family Medicine,MO,Healthcare Provider,Hacking/IT Incident,Network Server,53916,10/18/2024,No,HIGH
Singing River Health System,MS,Healthcare Provider,Hacking/IT Incident,Network Server,53888,05/19/2026,No,HIGH
"Turning Point of Central California, Inc.",CA,Healthcare Provider,Hacking/IT Incident,Network Server,53737,08/09/2024,No,HIGH
"Rocky Mountain Associated Physicians, P.C.",UT,Healthcare Provider,Hacking/IT Incident,Network Server,50640,04/03/2026,No,HIGH
"Dr. Daniel J. Leeman, M.D.",TX,Healthcare Provider,Hacking/IT Incident,Network Server,50000,10/04/2024,No,HIGH
Behavioral Health Resources,WA,Healthcare Provider,Hacking/IT Incident,Network Server,49213,01/17/2025,No,HIGH
Surgery Center of Mid Florida,FL,Healthcare Provider,Hacking/IT Incident,Network Server,48684,07/24/2024,No,HIGH
River Region Cardiology,AL,Healthcare Provider,Hacking/IT Incident,Network Server,48600,12/11/2024,No,HIGH
Clinica Family Health Services,CO,Healthcare Provider,Hacking/IT Incident,Network Server,47593,07/14/2025,No,HIGH
Heart South Cardiovascular Group,AL,Healthcare Provider,Hacking/IT Incident,Network Server,46666,04/06/2026,No,HIGH
"Langdon & Company, LLP Certified Public Accountants",NC,Business Associate,Hacking/IT Incident,Network Server,46061,08/01/2025,Yes,HIGH
"Proxycare, Inc.",FL,Healthcare Provider,Hacking/IT Incident,Network Server,45196,03/27/2026,No,HIGH
"Community Counseling of Bristol County, Inc.",MA,Healthcare Provider,Hacking/IT Incident,Network Server,44991,07/19/2024,No,HIGH
Gastroenterology Consultants of South Texas,TX,Healthcare Provider,Hacking/IT Incident,Network Server,44579,07/22/2025,No,HIGH
Avosina Healthcare Solutions,VA,Business Associate,Hacking/IT Incident,Network Server,44425,01/10/2026,Yes,HIGH
Heartland Health Center,NE,Healthcare Provider,Hacking/IT Incident,Network Server,43728,10/17/2025,No,HIGH
"Pediatric Otolaryngology Head & Neck Surgery Associates, P.A.",FL,Healthcare Provider,Hacking/IT Incident,Network Server,43446,08/18/2025,No,HIGH
"Fyzical Acquisition Holdings, LLC",FL,Business Associate,Hacking/IT Incident,Email,43045,03/21/2025,Yes,HIGH
"Pediatric Home Respiratory Services, LLC d/b/a Pediatric Home Service",MN,Healthcare Provider,Hacking/IT Incident,Network Server,41792,01/06/2025,No,HIGH
Pomona Community Health Center dba ParkTree Community Health Center,CA,Healthcare Provider,Hacking/IT Incident,Network Server,40964,08/21/2024,No,HIGH
Morton Drug Company,WI,Healthcare Provider,Hacking/IT Incident,Network Server,40051,11/10/2025,No,HIGH
Alert Medical Alarms,PA,Healthcare Provider,Hacking/IT Incident,Network Server,39218,08/15/2025,No,HIGH
"Southern Illinois Ob-Gyn Associates, S.C.",IL,Healthcare Provider,Hacking/IT Incident,Network Server,38700,05/22/2026,No,HIGH
"Restorix Health, Inc.",LA,Business Associate,Unauthorized Access/Disclosure,Email,38553,02/14/2025,Yes,HIGH
Minnesota Epilepsy Group,MN,Healthcare Provider,Hacking/IT Incident,Network Server,38401,04/28/2025,No,HIGH
"Providia Home Care, LLC dba Preferred Care Home Health Services",FL,Healthcare Provider,Hacking/IT Incident,Email,38401,05/30/2025,No,HIGH
Mount Rogers Community Services,VA,Healthcare Provider,Hacking/IT Incident,Network Server,38191,06/13/2025,No,HIGH
Cumberland County Hospital Association,KY,Healthcare Provider,Hacking/IT Incident,Other,36659,06/02/2025,No,HIGH
Rural Health Services,SC,Healthcare Provider,Hacking/IT Incident,Network Server,36542,06/12/2025,No,HIGH
"Ennoble Care & Circa Health, LLC",NJ,Healthcare Provider,Hacking/IT Incident,Email,36332,09/18/2025,No,HIGH
Marshfield Clinic Health System,WI,Healthcare Provider,Hacking/IT Incident,Email,35952,11/07/2025,No,HIGH
"Vida Y Salud-Health Systems, Inc.",TX,Healthcare Provider,Hacking/IT Incident,Network Server,35236,12/08/2025,No,HIGH
Greater Pittsburgh Orthopaedics Associates,PA,Healthcare Provider,Hacking/IT Incident,Desktop Computer,35000,08/27/2025,No,HIGH
"Anesthesia Associates of Morristown, P.A.",NJ,Healthcare Provider,Improper Disposal,Paper/Films,34675,05/02/2025,Yes,HIGH
"Gateway Community Services, Inc.",FL,Healthcare Provider,Hacking/IT Incident,Network Server,34498,05/29/2025,No,HIGH
"Lakeside Pediatrics & Adolescent Medicine, PLLC",ID,Healthcare Provider,Hacking/IT Incident,Network Server,34154,02/27/2026,No,HIGH
Pemiscot Memorial Health System,MO,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,33279,08/09/2024,No,HIGH
Atrium Health,NC,Healthcare Provider,Hacking/IT Incident,Email,32120,09/13/2024,No,HIGH
"Medical Center, LLP",GA,Healthcare Provider,Hacking/IT Incident,Network Server,32090,12/19/2025,No,HIGH
Mt. Spokane Pediatrics,WA,Healthcare Provider,Hacking/IT Incident,Network Server,32021,04/30/2026,No,HIGH
"Infinite Services, Inc.",NY,Healthcare Provider,Hacking/IT Incident,Network Server,31742,07/21/2025,No,HIGH
The Gatesworth Senior Living St. Louis,MO,Healthcare Provider,Hacking/IT Incident,Network Server,31124,04/11/2025,No,HIGH
Jefferson-Blount-St. Clair Mental Health Authority,AL,Healthcare Provider,Hacking/IT Incident,Network Server,30434,01/23/2026,No,HIGH
Watsonville Community Hospital,CA,Healthcare Provider,Hacking/IT Incident,Network Server,30312,12/31/2024,No,HIGH
"Legacy Treatment Services, Inc.",NJ,Healthcare Provider,Hacking/IT Incident,Network Server,29898,12/31/2024,No,HIGH
"Green Imaging, LLC",TX,Healthcare Provider,Hacking/IT Incident,Email,29517,12/09/2025,No,HIGH
Emanuel Medical Center,GA,Healthcare Provider,Hacking/IT Incident,Network Server,28963,02/17/2026,No,HIGH
"Bradford Health Services, LLC",AL,Healthcare Provider,Hacking/IT Incident,Network Server,28543,02/06/2024,No,HIGH
"Visiting Nurse Association of Texas, LLC",TX,Healthcare Provider,Hacking/IT Incident,Email,28515,10/10/2025,No,HIGH
Fort Wayne Medical Education Program,IN,Healthcare Provider,Hacking/IT Incident,Network Server,28502,03/06/2025,No,HIGH
Hunter Health Clinic,KS,Healthcare Provider,Hacking/IT Incident,Email,28431,05/15/2025,No,HIGH
"Mid Michigan Medical Billing Service, Inc.",MI,Business Associate,Hacking/IT Incident,Network Server,28185,01/05/2026,Yes,HIGH
"Contents Trader, Inc.",TX,Healthcare Provider,Unauthorized Access/Disclosure,Network Server,27329,08/20/2024,No,HIGH
Wyandot Behavioral Health Network,KS,Healthcare Provider,Hacking/IT Incident,Network Server,27174,11/20/2025,No,HIGH
Sun Valley Surgery Center,NV,Healthcare Provider,Hacking/IT Incident,Network Server,27001,09/18/2025,No,HIGH
Total Medical Imaging,FL,Healthcare Provider,Unauthorized Access/Disclosure,Network Server,27000,02/28/2025,Yes,HIGH
Sharp Community Medical Group,CA,Healthcare Provider,Hacking/IT Incident,Network Server,26976,06/06/2025,Yes,HIGH
University of Nebraska Medical Center,NE,Healthcare Provider,Hacking/IT Incident,Network Server,26937,04/17/2026,No,HIGH
Cache Valley Ear Nose & Throat,UT,Healthcare Provider,Hacking/IT Incident,Network Server,26469,04/24/2025,No,HIGH
Advantage Capital Holdings LLC,UT,Health Plan,Hacking/IT Incident,Network Server,26343,12/30/2025,No,HIGH
Klickitat Valley Health,WA,Healthcare Provider,Hacking/IT Incident,Network Server,26339,03/14/2025,No,HIGH
"High Point Treatment Center, Inc.",MA,Healthcare Provider,Hacking/IT Incident,"Electronic Medical Record, Network Server",25832,01/30/2026,No,HIGH
"Cary Pediatric Center, PA",NC,Healthcare Provider,Hacking/IT Incident,Network Server,25784,11/17/2025,No,HIGH
